fold,method,K,history_alpha,history_mse,history_phase,grid_optimized_alpha,alpha_diff,alpha_diff_abs
1,euclidean,100,5.5,0.7453273557413295,coarse,5.0,0.5,0.5
1,ipwr,10,1.0,0.9708879870674944,coarse,1.0,0.0,0.0
1,ipwr,20,1.3500000000000008,0.9428037038908575,fine,1.0000000000000004,0.3500000000000003,0.3500000000000003
1,ipwr,30,1.5,0.9387530014793508,coarse,1.0,0.5,0.5
1,ipwr,40,1.5,0.9381106154871542,coarse,1.0,0.5,0.5
1,ipwr,50,2.0,0.93813641410112,coarse,1.0,1.0,1.0
1,ipwr,60,2.0,0.9380889521361376,coarse,1.0500000000000005,0.9499999999999995,0.9499999999999995
1,ipwr,70,2.0,0.9383359193506262,coarse,1.1500000000000006,0.8499999999999994,0.8499999999999994
1,ipwr,80,2.0,0.9387850312017342,coarse,1.2000000000000006,0.7999999999999994,0.7999999999999994
1,ipwr,90,2.0,0.9390210078725124,coarse,1.2500000000000009,0.7499999999999991,0.7499999999999991
1,ipwr,100,2.0,0.9393039396175524,coarse,1.2500000000000002,0.7499999999999998,0.7499999999999998
1,itr,10,0.5,0.989635830882052,coarse,1.0,-0.5,0.5
1,itr,20,1.5,0.9412539689443684,coarse,1.0,0.5,0.5
1,itr,30,3.0,0.9306245717769038,coarse,1.0,2.0,2.0
1,itr,40,4.5,0.9316448465136014,coarse,1.0,3.5,3.5
1,itr,50,5.0,0.9343845476903736,coarse,1.0,4.0,4.0
1,itr,60,6.0,0.9385096384846467,coarse,1.0,5.0,5.0
1,itr,70,6.5,0.9434323773033112,coarse,1.0,5.5,5.5
1,itr,80,7.0,0.9475478374783364,coarse,1.0000000000000004,6.0,6.0
1,itr,90,7.5,0.9514800035935332,coarse,1.0000000000000004,6.5,6.5
1,itr,100,7.5,0.9548458170921929,coarse,1.0,6.5,6.5
1,jaccard,10,0.9500000000000004,1.0707492200292463,fine,1.0,-0.0499999999999996,0.0499999999999996
1,jaccard,20,1.2500000000000009,1.0444313327562624,fine,1.0,0.2500000000000009,0.2500000000000009
1,jaccard,30,1.5000000000000009,1.038055489419518,fine,1.0,0.5000000000000009,0.5000000000000009
1,jaccard,40,1.5,1.035925387148696,coarse,1.0,0.5,0.5
1,jaccard,50,2.0,1.0368575687766868,coarse,1.0,1.0,1.0
1,jaccard,60,2.0,1.0368665097577845,coarse,1.0000000000000004,0.9999999999999996,0.9999999999999996
1,jaccard,70,2.0,1.0371678772335788,coarse,1.0,1.0,1.0
1,jaccard,80,2.0,1.0377188718517736,coarse,1.0,1.0,1.0
1,jaccard,90,2.0,1.037953284409194,coarse,1.0,1.0,1.0
1,jaccard,100,2.0,1.0383717725708783,coarse,1.0,1.0,1.0
1,jmsd,10,1.5000000000000009,1.0156562341829842,fine,1.0,0.5000000000000009,0.5000000000000009
1,jmsd,20,2.5,0.9990016179259332,coarse,1.0,1.5,1.5
1,jmsd,30,2.5,0.997675822307322,coarse,1.0000000000000004,1.4999999999999996,1.4999999999999996
1,jmsd,40,3.0,0.9995303412069374,coarse,1.0,2.0,2.0
1,jmsd,50,3.0,1.0016089959273478,coarse,1.0,2.0,2.0
1,jmsd,60,3.0,1.0027661652747994,coarse,1.0500000000000005,1.9499999999999995,1.9499999999999995
1,jmsd,70,3.0,1.0040276181372514,coarse,1.1500000000000006,1.8499999999999994,1.8499999999999994
1,jmsd,80,3.5,1.0049116805125633,coarse,1.2500000000000002,2.25,2.25
1,jmsd,90,3.5,1.0056263366365277,coarse,1.3500000000000003,2.1499999999999995,2.1499999999999995
1,jmsd,100,3.5,1.0063630724827215,coarse,1.4000000000000004,2.0999999999999996,2.0999999999999996
1,kendall_tau_b,10,2.0,0.7324837002876828,coarse,1.0500000000000005,0.9499999999999995,0.9499999999999995
1,kendall_tau_b,20,2.5,0.733324661985618,coarse,1.8500000000000003,0.6499999999999997,0.6499999999999997
1,kendall_tau_b,30,3.0,0.7380923777836137,coarse,2.299999999999999,0.7000000000000011,0.7000000000000011
1,kendall_tau_b,40,2.9999999999999964,0.7425210960744955,fine,2.599999999999998,0.3999999999999986,0.3999999999999986
1,kendall_tau_b,50,3.5,0.7451036917186341,coarse,2.749999999999999,0.7500000000000009,0.7500000000000009
1,kendall_tau_b,60,3.5,0.7468797578807422,coarse,2.8499999999999988,0.6500000000000012,0.6500000000000012
1,kendall_tau_b,70,3.5,0.7481420861988937,coarse,2.9499999999999984,0.5500000000000016,0.5500000000000016
1,kendall_tau_b,80,3.5,0.7490617098404136,coarse,3.0,0.5,0.5
1,kendall_tau_b,90,3.5,0.7497133044689543,coarse,3.0,0.5,0.5
1,kendall_tau_b,100,3.5,0.7501794709846162,coarse,3.0,0.5,0.5
1,manhattan,10,1.4500000000000004,0.8310342941060803,fine,1.2500000000000002,0.20000000000000018,0.20000000000000018
1,manhattan,20,1.8000000000000007,0.8369686712266927,fine,1.6500000000000006,0.15000000000000013,0.15000000000000013
1,manhattan,30,2.0,0.8435765549882178,coarse,1.8000000000000005,0.1999999999999995,0.1999999999999995
1,manhattan,40,2.1000000000000005,0.8494168011013047,fine,1.9500000000000004,0.15000000000000013,0.15000000000000013
1,manhattan,50,2.2000000000000006,0.8537354557019654,fine,2.0500000000000007,0.1499999999999999,0.1499999999999999
1,manhattan,60,2.250000000000001,0.8569569782410389,fine,2.1000000000000005,0.15000000000000036,0.15000000000000036
1,manhattan,70,2.3000000000000007,0.8594362463527591,fine,2.1500000000000004,0.15000000000000036,0.15000000000000036
1,manhattan,80,2.3000000000000007,0.8613472715118717,fine,2.2000000000000006,0.10000000000000009,0.10000000000000009
1,manhattan,90,2.3500000000000005,0.8628596138518387,fine,2.2000000000000006,0.1499999999999999,0.1499999999999999
1,manhattan,100,2.400000000000001,0.8641017112303293,fine,2.250000000000001,0.1499999999999999,0.1499999999999999
1,msd,10,10.0,0.6195091758516852,coarse,1.0,9.0,9.0
1,msd,20,10.0,0.6795215316249067,coarse,1.0,9.0,9.0
1,msd,30,10.0,0.7260178488423217,coarse,1.0,9.0,9.0
1,msd,40,10.0,0.7583949113671854,coarse,1.0,9.0,9.0
1,msd,50,10.0,0.784183754261031,coarse,1.0,9.0,9.0
1,msd,60,10.0,0.8060071676737539,coarse,1.0,9.0,9.0
1,msd,70,10.0,0.8233941613654349,coarse,1.0000000000000004,9.0,9.0
1,msd,80,10.0,0.8381892142851477,coarse,1.0,9.0,9.0
1,msd,90,10.0,0.8511081632204388,coarse,1.7000000000000006,8.299999999999999,8.299999999999999
1,msd,100,10.0,0.8614590535164449,coarse,2.5,7.5,7.5
1,pcc,10,2.5,0.6790827387696637,coarse,1.4500000000000004,1.0499999999999996,1.0499999999999996
1,pcc,20,3.5,0.6825225429009792,coarse,2.5,1.0,1.0
1,pcc,30,4.0,0.6871155609881882,coarse,2.9999999999999982,1.0000000000000018,1.0000000000000018
1,pcc,40,4.5,0.6904743653669078,coarse,3.5,1.0,1.0
1,pcc,50,4.5,0.6924656589056678,coarse,3.5,1.0,1.0
1,pcc,60,4.5,0.693734392623576,coarse,3.5,1.0,1.0
1,pcc,70,4.5,0.6945961474208694,coarse,3.5,1.0,1.0
1,pcc,80,4.5,0.6951840050840743,coarse,4.0,0.5,0.5
1,pcc,90,4.5,0.6955998022602178,coarse,4.0,0.5,0.5
1,pcc,100,4.5,0.6958958477798778,coarse,4.0,0.5,0.5
1,spcc,10,3.0,0.6789670099574386,coarse,1.4500000000000004,1.5499999999999996,1.5499999999999996
1,spcc,20,3.5,0.683342883871582,coarse,2.549999999999998,0.950000000000002,0.950000000000002
1,spcc,30,4.5,0.6879857128103601,coarse,3.0,1.5,1.5
1,spcc,40,4.5,0.6907789376851465,coarse,3.5,1.0,1.0
1,spcc,50,4.5,0.6930504725900534,coarse,3.5,1.0,1.0
1,spcc,60,5.0,0.694342904053782,coarse,3.5,1.5,1.5
1,spcc,70,5.0,0.6950272934630292,coarse,4.0,1.0,1.0
