fold,method,alpha,type,K,TopN,RMSE,MAD,Precision,Recall,lambda
3,ami,0.8,optimized,40,25,1.0331385616683983,0.8222012398943228,0.5797841460590579,0.9880937865915866,0.015
3,ami,0.8,optimized,40,30,1.0331385616683983,0.8222012398943228,0.5753229721372485,0.9934993537806467,0.015
3,ami,0.8,optimized,40,35,1.0331385616683983,0.8222012398943228,0.5735990569513111,0.9968099125350955,0.015
3,ami,0.8,optimized,40,40,1.0331385616683983,0.8222012398943228,0.5726662624495596,0.9982205780870964,0.015
3,ami,0.8,optimized,40,45,1.0331385616683983,0.8222012398943228,0.5723940334987341,0.9989583090250499,0.015
3,ami,0.8,optimized,40,50,1.0331385616683983,0.8222012398943228,0.5721017870904577,0.9991871310002567,0.015
3,ami,0.8500000000000003,optimized,50,5,1.0332017588391558,0.8224133235923384,0.654701307882644,0.7129877413399899,0.015
3,ami,0.8500000000000003,optimized,50,10,1.0332017588391558,0.8224133235923384,0.6198463195812083,0.8777711022616039,0.015
3,ami,0.8500000000000003,optimized,50,15,1.0332017588391558,0.8224133235923384,0.5976050931512225,0.9427539855642169,0.015
3,ami,0.8500000000000003,optimized,50,20,1.0332017588391558,0.8224133235923384,0.586250302123167,0.9728572476657983,0.015
3,ami,0.8500000000000003,optimized,50,25,1.0332017588391558,0.8224133235923384,0.5798689816900229,0.9882346116058089,0.015
3,ami,0.8500000000000003,optimized,50,30,1.0332017588391558,0.8224133235923384,0.5754997130350923,0.9937744153798328,0.015
3,ami,0.8500000000000003,optimized,50,35,1.0332017588391558,0.8224133235923384,0.5735687585116808,0.9967243473772278,0.015
3,ami,0.8500000000000003,optimized,50,40,1.0332017588391558,0.8224133235923384,0.5726397513148832,0.9981350129292287,0.015
3,ami,0.8500000000000003,optimized,50,45,1.0332017588391558,0.8224133235923384,0.5723704680456884,0.9989274104958198,0.015
3,ami,0.8500000000000003,optimized,50,50,1.0332017588391558,0.8224133235923384,0.5721017870904577,0.9991871310002567,0.015
3,ami,0.9000000000000004,optimized,60,5,1.0336612388439055,0.8225634485989405,0.655125486037469,0.7131982515417737,0.015
3,ami,0.9000000000000004,optimized,60,10,1.0336612388439055,0.8225634485989405,0.6191040078102644,0.8766783756697848,0.015
3,ami,0.9000000000000004,optimized,60,15,1.0336612388439055,0.8225634485989405,0.5980292713060475,0.9434803519064721,0.015
3,ami,0.9000000000000004,optimized,60,20,1.0336612388439055,0.8225634485989405,0.5859851907764013,0.972604762541233,0.015
3,ami,0.9000000000000004,optimized,60,25,1.0336612388439055,0.8225634485989405,0.580038652951953,0.9885004376508113,0.015
3,ami,0.9000000000000004,optimized,60,30,1.0336612388439055,0.8225634485989405,0.5754643648555234,0.9937016849956453,0.015
3,ami,0.9000000000000004,optimized,60,35,1.0336612388439055,0.8225634485989405,0.5735687585116808,0.9967243473772278,0.015
